;Electric bike;Electric moped (<50 kmph);Auto-rickshaw;Motorcycle;Motorcycle with sidecar;Motorized tricycle;Passenger vehicles;Buses and Minibuses;Light Commercial vehicles;Medium and Heavy Weight Trucks
EVs;1400000;;;;;;170428;792;12977;64
HEVs;;;;;;;1486483;;16284;4
PHEVs;;;;;;;183055;;1087;
FCs;;;;;;;56;13;;
Total of this vehicle type (including ICEVs)_2021;50000000;1200000;;7100000;;;39822723;100199;4290042;783000
