;Electric bike;Electric moped (<50 kmph);Auto-rickshaw;Motorcycle;Motorcycle with sidecar;Motorized tricycle;Passenger vehicles;Buses and Minibuses;Light Commercial vehicles;Medium and Heavy Weight Trucks
EVs;320000;3900;;6906;;;67273;84;3129;8
HEVs;;;;;;;422190;;;
PHEVs;;;;;;;70472;;382;
FCs;;;;;;;10;;;
Total of this vehicle type (including ICEVs)_2021;1850000;18835;;270232;;;1457952;3495;184850;25090
