;Electric bike;Electric moped (<50 kmph);Auto-rickshaw;Motorcycle;Motorcycle with sidecar;Motorized tricycle;Passenger vehicles;Buses and Minibuses;Light Commercial vehicles;Medium and Heavy Weight Trucks
EVs;1300000;3396;;;;;122138;669;9441;47
HEVs;;;;;;;964918;;5816;3
PHEVs;;;;;;;113583;;489;
FCs;;;;;;;45;13;;
Total of this vehicle type (including ICEVs)_2021;50000000;1300000;;6800000;;;39717874;99883;4221718;702000
