"","x","Electric bike","Electric moped (<50 kmph)","Auto-rickshaw","Motorcycle","Motorcycle with sidecar","Motorized tricycle","Passenger vehicles","Buses and Minibuses","Light Commercial vehicles","Medium and Heavy Weight Trucks","year"
"1","EVs",320000,3900,NA,6906,NA,NA,67273,84,3129,8,"2021"
"2","HEVs",NA,NA,NA,NA,NA,NA,422190,NA,NA,NA,"2021"
"3","PHEVs",NA,NA,NA,NA,NA,NA,70472,NA,382,NA,"2021"
"4","FCs",NA,NA,NA,NA,NA,NA,10,NA,NA,NA,"2021"
"5","EVs",295000,5904,NA,10436,NA,NA,49169,123,4138,17,"2022"
"6","HEVs",NA,NA,NA,NA,NA,NA,454989,NA,NA,NA,"2022"
"7","PHEVs",NA,NA,NA,NA,NA,NA,64632,NA,614,NA,"2022"
"8","FCs",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,"2022"
